# Titles of the Catalog of Hittite Texts (CTH), one line per catalogue entry.
# S. Košak – G.G.W. Müller – S. Görke – Ch.W. Steitler, 2001–2026, Hethitologie-Portal Mainz.
# Licensed CC BY-SA 4.0, https://creativecommons.org/licenses/by-sa/4.0/ – see CTH-TITLES-TERMS.txt.
# Written by `cargo run --locked --release -p aruna --example cth_titles`; do not edit by hand.
# source: https://hethport.net/CTH/index.php?lang=EN
# fetched: 2026-09-22 04:54:05 UTC
# sha256: 31310a4e8dcd81140fa33f3a89bb820d05d48ca3c591c5fd4e74ef453ff2db86
# entries: 837
CTH 1	title	Proclamation of Anitta
CTH 2	title	Fragments referring to Anum-Ḫirbi and the city of Zalpa
CTH 3	title	Zalpa tale and other fragments mentioning the city of Zalpa
CTH 4	title	Annals of Ḫattušili I
CTH 5	title	Edict of Ḫattušili I
CTH 6	title	Political Testament of Ḫattušili I
CTH 7	title	Siege of Uršu
CTH 8	title	Palace Chronicle
CTH 9	title	Fragments of palace chronicles
CTH 10	title	Fragments relating to the expedition of Muršili I against Babylon
CTH 11	title	Campaign of Muršili I against Aleppo
CTH 12	title	The Anatolian campaigns of Muršili I
CTH 13	title	Campaigns of Muršili I? against the Hurrians
CTH 14	title	Res gestae of Ḫattušili I
CTH 15	unassigned	
CTH 16	title	Legendary accounts of the Hurrian wars
CTH 17	title	Fragments referring to the Hurrian wars
CTH 18	title	Ammuna Chronicle
CTH 19	title	Edict of Telipinu (.I Akkadian, .II Hittite)
CTH 20	title	Campaign of Telipinu against Laḫḫa
CTH 21	title	Treaty of Telipinu with Išputaḫšu of Kizzuwatna (.I Akkadian, .II Hittite)
CTH 22	title	Fragment referring to Telipinu
CTH 23	title	Fragment referring to Alluwamna
CTH 24	title	Fragments referring to Pimpira
CTH 25	title	Treaty of Zidanza II with Pilliya of Kizzuwatna
CTH 26	title	Treaty of a Hittite king with Paddatiššu of Kizzuwatna
CTH 27	title	Treaty with the Ḫabiru
CTH 28	title	Middle Hittite Treaty
CTH 29	title	Treaty of Taḫurwaili with Eḫeya of Kizzuwatna
CTH 30	unassigned	
CTH 31	unassigned	
CTH 32	unassigned	
CTH 33	unassigned	
CTH 34	unassigned	
CTH 35	unassigned	
CTH 36	unassigned	
CTH 37	unassigned	
CTH 38	unassigned	
CTH 39	title	Old Hittite historical fragments
CTH 40	title	Deeds of Šuppiluliuma
CTH 41	title	Treaty of Tutḫaliya I with Šunaššura of Kizzuwatna (.I Akkadian, .II Hittite)
CTH 42	title	Treaty of Šuppiluliuma I with Ḫukkana of Ḫayaša
CTH 43	unassigned	
CTH 44	title	Edict of Šuppiluliuma concerning the priesthood of Telipinu in the land of Kizzuwatna
CTH 45	title	Letter of Šuppiluliuma I to Niqmaddu II of Ugarit
CTH 46	title	Treaty of Šuppiluliuma I with Niqmaddu II of Ugarit
CTH 47	title	Decree of Šuppiluliuma I setting the tribute of Ugarit (.I Akkadian, .II Hittite)
CTH 48	title	Inventory of the tribute of Ugarit to Šuppiluliuma I
CTH 49	title	Treaty of Šuppiluliuma I with Aziru of Amurru (.I Akkadian, .II Hittite)
CTH 50	title	Treaty of Šuppiluliuma I with Šarri-Kušuḫ of Karkamiš
CTH 51	title	Treaty of Šuppiluliuma I with Šattiwaza of Mitanni (.I Akkadian, .II Hittite)
CTH 52	title	Treaty of Šattiwaza of Mitanni with Šuppiluliuma I (.I Akkadian, .II Hittite)
CTH 53	title	Treaty of Šuppiluliuma I with Tette of Nuḫašše
CTH 54	title	Treaty between Niqmaddu II of Ugarit and Aziru of Amurru
CTH 55	title	unassigned (formerly “Oracle mentioning Ḫukkana of Azzi”; see CTH 579)
CTH 56	unassigned	
